stime,mode,size,color,date,pool,author,dbid,text
265.63800,1,25,16777215,1671442737,0,23361e6b,1210908462570378240,11,适合去捡菌子
98.99200,1,25,16777215,1671442644,0,a02c3863,1210907685089027584,11,甄嬛传每年都要出现在这个榜上
670.47400,1,25,16777215,1671440704,0,d0b11aa2,1210891411013379072,11,信念感挺强的哈哈哈哈
558.64700,1,25,14811775,1671439755,0,8e55eda3,1210883451213972992,11,这个杀手不太冷静很好看啊，全程爆笑
110.77700,1,25,16777215,1671439469,0,872270a9,1210881047391318272,11,宝娟，宝娟，我的嗓子～～
10.30000,1,25,16777215,1671435764,0,7028d8e0,1210849967892467712,11,高情商:进步有限
130.94800,5,25,15138834,1671428665,0,b2ae584d,1210790416795283712,11,宝娟虽迟但到
609.59900,1,25,16777215,1671428303,0,6a7e8d1a,1210787383172499968,11,魏翔有一次演的小青也超搞笑
540.34800,1,25,16777215,1671427608,0,e67e872f,1210781550581774592,11,给大家表演一个：三口一头猪
718.02200,1,25,16777215,1671427405,0,3da53cc8,1210779845588696576,11,这到底是啥电视剧啊哈哈哈
584.89900,1,25,16777215,1671427296,0,f309037e,1210778936859124224,11,黑魔狐变身
25.22700,1,25,16777215,1671427280,0,d4120bfb,1210778796056349696,11,甄嬛传文艺复兴从未停止
763.34000,1,25,16777215,1671426424,0,51c8f89e,1210771618117652992,11,那个年代离婚？你在做什么春秋大梦
494.33900,1,25,16777215,1671426419,0,15175708,1210771573020369920,11,我说为嘛看他很眼熟却又想不起来这是谁
552.60100,1,25,16777215,1671426267,0,bfa375d9,1210770304528788480,11,《笑点满满》
265.71800,1,25,16777215,1671425442,0,fe843bea,1210763381166866176,11,怪不得水土流失严重，感情被她薅秃了山头
